City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Bethel,US,2022-11-28 23:44:45,41.3712,-73.414,46.27,70,0,8.05
127,Kudymkar,RU,2022-11-28 23:44:45,59.0173,54.656,7.92,98,100,2.53
128,Klaksvik,FO,2022-11-28 23:44:46,62.2266,-6.589,45.52,87,3,9.15
129,Laguna,US,2022-11-28 23:44:46,38.421,-121.4238,63.01,42,0,3.44
130,Luderitz,NA,2022-11-28 23:44:46,-26.6481,15.1594,59.27,91,23,0.38
131,Nekrasovskaya,RU,2022-11-28 23:44:47,45.1447,39.7487,40.48,71,81,16.31
132,Marsa Matruh,EG,2022-11-28 23:44:47,31.3525,27.2453,63.43,62,40,7.45
133,Arlit,NE,2022-11-28 23:44:47,18.7369,7.3853,69.75,23,100,5.73
134,Soyo,AO,2022-11-28 23:44:48,-6.1349,12.3689,78.31,85,90,5.35
135,Soc Trang,VN,2022-11-28 23:44:48,9.6033,105.98,77.99,89,54,5.12
136,Thompson,CA,2022-11-28 23:44:48,55.7435,-97.8558,17.76,79,100,19.57
137,Matara,LK,2022-11-28 23:44:49,5.9485,80.5353,75.67,88,93,1.12
138,Mahebourg,MU,2022-11-28 23:45:49,-20.4081,57.7,73.69,88,40,3.44
139,Tasiilaq,GL,2022-11-28 23:45:50,65.6145,-37.6368,30.36,66,94,9.22
140,Ilulissat,GL,2022-11-28 23:41:46,69.2167,-51.1,14.02,52,46,3.44
141,Ellisras,ZA,2022-11-28 23:45:50,-23.6649,27.7443,64.85,78,80,10.74
142,Telimele,GN,2022-11-28 23:45:51,10.9167,-13.3333,66.36,77,37,0.74
143,Muisne,EC,2022-11-28 23:45:51,0.6,-80.0333,74.77,84,100,12.03
144,Barrow,US,2022-11-28 23:45:51,71.2906,-156.7887,-16.58,76,0,12.66
145,Pierre,US,2022-11-28 23:45:52,44.3683,-100.351,36.86,50,40,8.05
146,Mount Gambier,AU,2022-11-28 23:45:52,-37.8333,140.7667,61.7,54,63,8.52
147,Maningrida,AU,2022-11-28 23:45:52,-12.0667,134.2667,78.19,84,100,7.52
148,Pevek,RU,2022-11-28 23:45:53,69.7008,170.3133,15.53,78,93,9.84
149,Avarua,CK,2022-11-28 23:45:53,-21.2078,-159.775,80.65,65,75,12.66
150,Koryukivka,UA,2022-11-28 23:45:53,51.7688,32.2481,31.39,91,100,10.13
151,Meulaboh,ID,2022-11-28 23:45:54,4.1363,96.1285,76.98,87,99,1.45
152,Awash,ET,2022-11-28 23:45:54,8.9833,40.1667,68.79,53,37,2.17
153,Kodiak,US,2022-11-28 23:45:54,57.79,-152.4072,29.71,93,100,6.91
154,Saint-Philippe,RE,2022-11-28 23:45:55,-21.3585,55.7679,71.19,82,78,5.37
155,Taltal,CL,2022-11-28 23:45:55,-25.4,-70.4833,63.93,85,41,3.67
156,Kongolo,CD,2022-11-28 23:45:56,-5.3833,27.0,69.28,97,100,1.43
157,Weiser,US,2022-11-28 23:45:56,44.251,-116.9693,35.8,89,100,1.99
158,Clyde River,CA,2022-11-28 23:45:56,70.4692,-68.5914,-12.77,84,75,16.11
